iter	RMSE
0	24242.88969
1	23799.76757
2	23379.87692
3	23039.44754
4	22629.92595
5	22280.50873
6	21692.40917
7	21370.04116
8	21005.14285
9	20753.32141
10	20336.12266
11	20021.93556
12	19737.70159
13	19369.16818
14	18992.23199
15	18734.17524
16	18438.09241
17	18135.2313
18	17824.9826
19	17543.74635
20	17281.94826
21	16934.25648
22	16731.55119
23	16530.10282
24	16247.06611
25	16015.87622
26	15728.12697
27	15520.30792
28	15286.33942
29	15030.55379
30	14775.73228
31	14519.23578
32	14298.03823
33	14050.72854
34	13850.83221
35	13619.32995
36	13414.21966
37	13192.8529
38	12946.92251
39	12695.92618
40	12532.17535
41	12347.9968
42	12134.85931
43	11973.9707
44	11789.42012
45	11574.12056
46	11392.88262
47	11140.42365
48	10992.77586
49	10847.43636
50	10673.62463
51	10494.7178
52	10349.78603
53	10204.86161
54	10079.94966
55	9921.64807
56	9790.727457
57	9654.334289
58	9494.3227
59	9436.435772
60	9252.913777
61	9112.673399
62	8992.930891
63	8868.819657
64	8754.590705
65	8623.639963
66	8506.754469
67	8410.575693
68	8287.446598
69	8155.462686
70	8005.057807
71	7896.955432
72	7808.338584
73	7712.677103
74	7625.640415
75	7498.866884
76	7454.515727
77	7346.289568
78	7258.448017
79	7179.846992
80	7078.599701
81	6969.474947
82	6850.274512
83	6746.945217
84	6664.999644
85	6541.483934
86	6483.3166
87	6419.476327
88	6328.364329
89	6227.148299
90	6148.159384
91	6086.148556
92	6005.791115
93	5928.906737
94	5850.045445
95	5755.629578
96	5664.661539
97	5590.641165
98	5526.085869
99	5467.617501
100	5387.634744
101	5334.51489
102	5234.48917
103	5202.741401
104	5148.125965
105	5067.757604
106	4994.179056
107	4934.780961
108	4860.21439
109	4787.080301
110	4709.963097
111	4684.024263
112	4614.218435
113	4534.483995
114	4468.934818
115	4419.042916
116	4366.515603
117	4315.508431
118	4282.012612
119	4223.962999
120	4150.955438
121	4116.252898
122	4045.310051
123	3990.998464
124	3936.115834
125	3884.979372
126	3834.962232
127	3805.94246
128	3755.56809
129	3699.962065
130	3673.148592
131	3627.310756
132	3579.213848
133	3533.193962
134	3470.993459
135	3414.636449
136	3363.276547
137	3319.954027
138	3272.63031
139	3237.991581
140	3213.446402
141	3172.217955
142	3151.433199
143	3127.245297
144	3073.202044
145	3028.056208
146	2995.259776
147	2951.635064
148	2913.935984
149	2871.905907
150	2833.888667
151	2795.658797
152	2757.230448
153	2725.87524
154	2679.390043
155	2633.487566
156	2599.604358
157	2569.868477
158	2549.697125
159	2506.723723
160	2469.196844
161	2453.629352
162	2418.859657
163	2397.73388
164	2376.449525
165	2340.439405
166	2306.641617
167	2275.380632
168	2241.909163
169	2208.356205
170	2183.927309
171	2152.088078
172	2136.359108
173	2112.382809
174	2082.740147
175	2068.981202
176	2040.099189
177	2016.407847
178	2001.730049
179	1987.3372
180	1961.498151
181	1942.273903
182	1925.413722
183	1903.397503
184	1877.538091
185	1850.606762
186	1824.940464
187	1800.523829
188	1780.698739
189	1767.510263
190	1745.821922
191	1732.770379
192	1718.993388
193	1694.556246
194	1676.623894
195	1653.178291
196	1631.070591
197	1610.026906
198	1591.102877
199	1572.10064
200	1554.018182
201	1543.535981
202	1527.256218
203	1511.272844
204	1488.336723
205	1464.981582
206	1446.458268
207	1424.040338
208	1405.853766
209	1384.374837
210	1368.411054
211	1353.045645
212	1339.249945
213	1330.193867
214	1316.815077
215	1300.197183
216	1290.116016
217	1277.336487
218	1261.466561
219	1243.98622
220	1229.284233
221	1220.490755
222	1205.578187
223	1190.054168
224	1181.650038
225	1165.965241
226	1157.764522
227	1143.834364
228	1130.690963
229	1112.103645
230	1104.540149
231	1091.540597
232	1083.4227
233	1071.150943
234	1064.383006
235	1056.707649
236	1045.556731
237	1033.534831
238	1019.651538
239	1002.930765
240	992.6503171
241	986.5171856
242	980.5127386
243	969.6429689
244	956.6666261
245	948.8899677
246	943.2281559
247	931.3519759
248	919.6838637
249	909.4516468
250	894.145917
251	888.2881859
252	882.5832539
253	873.7311598
254	862.2767004
255	851.3470269
256	840.587871
257	832.126609
258	820.6197992
259	815.5445095
260	807.4845217
261	797.5921761
262	782.391136
263	777.8633419
264	773.4299199
265	759.0053528
266	754.3237312
267	748.1874842
268	740.0558463
269	735.9215807
270	726.9397577
271	717.438755
272	713.4987189
273	701.3275149
274	689.4057463
275	677.7286405
276	666.29152
277	662.1711333
278	656.9030803
279	649.2559962
280	645.6852877
281	638.3072081
282	634.8580804
283	627.7391108
284	617.1167496
285	609.9986981
286	605.2760934
287	599.3290319
288	589.20544
289	585.6723386
290	582.393885
291	577.9408334
292	573.2796369
293	563.6175206
294	554.1541896
295	546.4992722
296	540.978119
297	538.2181987
298	529.719365
299	526.7989475
300	523.7082494
301	520.6820363
302	512.542971
303	509.7811737
304	506.8810117
305	499.4181047
306	496.4215045
307	493.4836552
308	486.0368958
309	480.0036706
310	475.6855809
311	473.034267
312	466.0241879
313	463.5738792
314	457.460825
315	454.2083747
316	451.5800825
317	449.2736805
318	443.7484977
319	438.0645412
320	432.7473504
321	430.5460848
322	425.5249542
323	420.4466283
324	418.3305309
325	415.4037272
326	410.1708743
327	405.4784081
328	402.6879418
329	397.6765924
330	393.1971013
331	387.574862
332	382.1570259
333	376.8437271
334	374.2931971
335	369.1147798
336	365.0103859
337	359.9136632
338	354.9976986
339	351.0892244
340	345.8064853
341	341.1843409
342	338.5163553
343	336.9785306
344	333.3257918
345	329.7569583
346	326.2697271
347	323.2044301
348	319.8274748
349	314.9901124
350	310.2773595
351	307.0772601
352	303.9502696
353	300.7795465
354	297.7542966
355	294.6629159
356	291.7359096
357	288.8753627
358	285.8894195
359	284.0727777
360	281.1592863
361	277.0253641
362	273.0000467
363	269.6042529
364	265.620935
365	262.324448
366	259.6827345
367	258.3893133
368	255.1966006
369	253.4116193
370	251.6729245
371	248.2215515
372	246.5523022
373	244.9264154
374	241.5786659
375	239.3782624
376	237.237579
377	233.7522311
378	232.236921
379	230.7614848
380	229.3249275
381	227.0368919
382	225.6506847
383	224.3010855
384	221.3737013
385	218.355216
386	217.0714085
387	213.9377369
388	211.0264489
389	208.8345982
390	207.6296368
391	206.4130579
392	203.6091287
393	201.0593129
394	199.4967264
395	196.749187
396	194.0585756
397	192.9659068
398	191.9024261
399	189.5482165
400	187.2545018
401	185.0027034
402	182.8292455
403	180.7317186
404	178.8161866
405	176.8055154
406	174.5325584
407	172.6961208
408	170.7628901
409	168.859829
410	167.0976322
411	165.2002682
412	163.3647071
413	161.5578444
414	159.3638501
415	157.6006999
416	155.8649985
417	153.835198
418	152.2831879
419	150.600307
420	148.9421585
421	147.3084294
422	145.7368445
423	144.4136379
424	142.8291192
425	141.2679625
426	139.8010987
427	137.9846345
428	136.1978233
429	134.4401105
430	132.8065938
431	131.0989519
432	129.3795793
433	127.8252959
434	126.4337396
435	125.0628002
436	123.9387636
437	122.6590147
438	121.045231
439	119.4931134
440	118.2818443
441	116.8859466
442	115.5204998
443	114.3801885
444	112.9336826
445	111.5950833
446	110.5209761
447	109.2596359
448	108.2356928
449	106.9567401
450	106.2035797
451	105.4714399
452	104.0844312
453	102.7195555
454	101.559374
455	100.4247059
