iter	Passed	Remaining
0	0	713
1	1	817
2	1	763
3	1	740
4	2	736
5	2	715
6	2	633
7	3	648
8	4	671
9	4	659
10	4	651
11	5	647
12	5	626
13	5	621
14	6	612
15	6	609
16	6	594
17	7	592
18	7	594
19	7	586
20	8	584
21	8	580
22	9	580
23	9	580
24	9	584
25	10	567
26	10	570
27	11	610
28	11	607
29	12	606
30	12	605
31	13	607
32	13	610
33	14	612
34	14	613
35	14	604
36	15	600
37	15	598
38	15	597
39	16	587
40	16	602
41	17	599
42	17	597
43	18	597
44	18	603
45	19	603
46	19	602
47	19	599
48	20	600
49	20	599
50	21	599
51	21	600
52	21	599
53	22	598
54	22	598
55	22	590
56	23	602
57	24	601
58	24	600
59	24	595
60	25	594
61	25	586
62	25	585
63	26	584
64	26	583
65	26	584
66	27	585
67	27	586
68	28	585
69	28	584
70	29	597
71	30	599
72	30	599
73	31	599
74	32	610
75	32	612
76	33	611
77	33	612
78	34	612
79	34	612
80	34	611
81	35	609
82	35	609
83	36	611
84	36	609
85	37	615
86	37	613
87	38	624
88	39	622
89	39	621
90	39	619
91	40	617
92	40	618
93	41	617
94	41	616
95	42	614
96	42	612
97	42	611
98	43	608
99	43	607
100	43	607
101	44	605
102	44	604
103	44	602
104	45	601
105	45	599
106	46	607
107	47	606
108	47	604
109	47	602
110	48	601
111	48	597
112	48	596
113	48	595
114	49	594
115	49	593
116	50	592
117	50	592
118	51	599
119	52	600
120	52	599
121	52	597
122	53	596
123	53	594
124	53	593
125	54	592
126	54	590
127	55	589
128	55	588
129	55	587
130	56	586
131	56	584
132	56	582
133	57	581
134	57	579
135	57	578
136	58	577
137	58	576
138	58	576
139	59	576
140	59	574
141	59	573
142	60	572
143	60	570
144	60	569
145	61	569
146	61	568
147	62	566
148	62	565
149	62	563
150	62	562
151	63	561
152	63	560
153	63	558
154	64	557
155	64	556
156	64	555
157	65	554
158	65	553
159	66	552
160	66	552
161	66	551
162	67	550
163	67	549
164	67	549
165	68	548
166	68	547
167	68	546
168	69	544
169	69	543
170	69	542
171	70	541
172	70	539
173	70	538
174	70	537
175	71	536
176	71	536
177	72	539
178	73	538
179	73	538
180	73	537
181	74	536
182	74	535
183	74	534
184	75	533
185	75	532
186	75	531
187	76	531
188	76	530
189	76	529
190	77	529
191	77	528
192	77	527
193	78	526
194	78	526
195	79	527
196	79	526
197	79	525
198	81	529
199	81	529
200	81	528
201	82	531
202	83	530
203	83	529
204	83	528
205	84	528
206	84	527
207	84	526
208	85	525
209	85	524
210	85	524
211	86	523
212	86	523
213	87	522
214	87	521
215	87	520
216	88	524
217	89	524
218	89	523
219	89	523
220	90	522
221	90	521
222	91	524
223	91	523
224	92	523
225	92	522
226	92	521
227	93	520
228	93	519
229	93	518
230	94	517
231	94	517
232	94	516
233	95	515
234	95	514
235	96	514
236	96	513
237	96	512
238	97	515
239	98	515
240	98	514
241	98	513
242	99	513
243	99	512
244	99	511
245	100	511
246	100	511
247	101	510
248	101	509
249	101	509
250	102	511
251	103	510
252	103	510
253	103	509
254	104	509
255	104	508
256	105	508
257	105	507
258	105	507
259	106	506
260	106	506
261	106	505
262	107	505
263	107	505
264	108	504
265	108	503
266	108	502
267	109	501
268	109	500
269	109	500
270	110	499
271	110	498
272	110	498
273	111	497
274	111	496
275	111	496
276	112	495
277	112	494
278	113	494
279	113	493
280	113	492
281	113	492
282	114	491
283	114	490
284	114	489
285	115	489
286	115	488
287	116	488
288	116	488
289	116	487
290	117	486
291	117	486
292	117	485
293	119	488
294	119	487
295	119	486
296	120	486
297	120	485
298	120	484
299	121	484
300	121	483
301	121	482
302	121	481
303	122	481
304	122	480
305	123	480
306	123	479
307	123	478
308	123	477
309	124	477
310	124	476
311	124	475
312	125	475
313	125	474
314	125	473
315	126	473
316	126	473
317	127	472
318	127	471
319	127	471
320	128	470
321	128	469
322	128	469
323	129	468
324	129	468
325	129	467
326	130	467
327	130	466
328	130	465
329	131	464
330	131	464
331	131	464
332	132	463
333	132	462
334	133	462
335	133	462
336	134	463
337	134	463
338	135	462
339	135	461
340	136	463
341	136	462
342	136	462
343	137	461
344	137	460
345	137	459
346	138	458
347	138	458
348	138	457
349	138	456
350	139	455
351	139	454
352	139	453
353	140	453
